Wall time,Step,Value
1704551248.1278288,19,3.003358840942383
1704551257.4856312,48,1.844665765762329
1704551262.3086948,63,2.297316789627075
1704551270.933547,90,2.385378837585449
1704551275.3922853,104,2.3664944171905518
1704551276.685739,108,1.535456895828247
1704551283.315448,129,1.5171597003936768
1704551297.7813933,173,1.431902289390564
1704551358.4608188,245,1.1490535736083984
1704551363.2301204,260,0.9949156045913696
1704551370.5039291,283,1.1901237964630127
1704551403.433655,387,0.9551697373390198
1704551446.6331322,403,0.8235616683959961
1704551450.7426035,416,1.2212377786636353
1704551457.7314322,438,0.86549311876297
1704551466.7246532,466,1.0775145292282104
1704551471.7948084,482,0.997868001461029
1704551480.9166224,511,0.9153939485549927
1704551488.2366269,534,0.8820211887359619
1704551489.7498343,539,0.7054840326309204
1704551495.335885,557,0.6268829107284546
1704551507.735993,597,0.939300000667572
1704551558.6392975,638,0.7762631177902222
1704551560.551589,644,0.9780226945877075
1704551565.4085414,659,0.684698224067688
1704551570.8816729,676,0.7251861095428467
1704551599.3898578,765,0.4657596945762634
1704551649.9745998,805,0.8008339405059814
1704551669.6269274,867,0.7588974237442017
1704551676.1628456,887,0.5627545118331909
1704551755.740589,1016,0.749798595905304
1704551759.1916215,1027,0.6637197136878967
1704551762.6445618,1038,0.5573444366455078
1704551785.9332402,1112,0.7186183929443359
1704551790.2807658,1126,0.6819767355918884
1704551792.5054832,1133,0.6271138191223145
1704551798.685561,1153,0.7142992615699768
1704551802.3788006,1165,0.7678700685501099
1704551806.1148458,1177,0.6475589275360107
1704551808.5606387,1185,0.7704606056213379
1704551858.0240314,1219,0.5930815935134888
1704551868.805262,1253,0.8329379558563232
1704551869.4106307,1255,0.5911874175071716
1704551873.4949687,1268,0.6490479707717896
1704551874.7328315,1272,0.4433244466781616
1704551907.3166928,1377,0.46583208441734314
1704551958.7288132,1418,0.560182511806488
1704551971.1265962,1458,0.4733917713165283
1704551971.422944,1459,0.4465923309326172
1704551982.755984,1495,0.8684142231941223
1704551988.085369,1511,0.7410064339637756
1704551988.9944723,1514,0.5750377774238586
1704551999.7413805,1549,0.4848480224609375
1704552000.6693065,1552,0.5693696737289429
1704552004.9883351,1566,0.48532092571258545
1704552062.4937422,1628,0.507514476776123
1704552064.9429536,1636,0.7052525877952576
1704552076.0388765,1671,0.4452991783618927
1704552086.0050955,1703,0.5910224318504333
1704552088.863248,1712,0.5728301405906677
1704552169.9786,1848,0.508440375328064
1704552186.623197,1900,0.4179489016532898
1704552189.7576287,1910,0.4975131154060364
1704552199.6714046,1941,0.48283934593200684
1704552206.1836452,1961,0.5035368800163269
1704552206.4930875,1962,0.5645353198051453
1704552278.730717,2071,0.6332719326019287
1704552281.5168526,2080,0.559178352355957
1704552322.2335103,2210,0.575831413269043
1704552395.261886,2320,0.38602137565612793
1704552407.8135562,2360,0.4465230107307434
1704552469.989888,2437,0.4686727523803711
1704552471.5902243,2442,0.3892190754413605
1704552475.6306083,2455,0.5339301824569702
1704552478.1187935,2463,0.392244428396225
1704552479.064846,2466,0.5443012714385986
1704552491.023991,2504,0.4370463192462921
1704552514.571311,2578,0.5643447637557983
1704552514.8642328,2579,0.7613796591758728
1704552521.441195,2600,0.4120117425918579
1704552568.448811,2628,0.47546863555908203
1704552571.013946,2636,0.4661217927932739
1704552573.5196223,2644,0.47081077098846436
1704552586.4357336,2685,0.49731796979904175
1704552589.2671278,2694,0.5261901617050171
1704552594.085744,2709,0.4841095209121704
1704552596.8438413,2718,0.5305806994438171
1704552607.7885995,2754,0.6613839864730835
1704552608.112396,2755,0.5028775334358215
1704552612.523508,2769,0.43705591559410095
1704552617.8713899,2786,0.6626026630401611
1704552626.0605736,2813,0.3984568119049072
